EUR/USD / 1h / MEAN_REVERSION v1: done (18.2s, 4990 candles)
EUR/USD / 4h / MEAN_REVERSION v1: done (20.8s, 4997 candles)
EUR/USD / 1day / MEAN_REVERSION v1: done (21.9s, 5000 candles)
EUR/USD / 1week / MEAN_REVERSION v1: done (8.7s, 2201 candles)
GBP/USD / 1h / MEAN_REVERSION v1: done (27.6s, 4990 candles)
GBP/USD / 4h / MEAN_REVERSION v1: done (20.4s, 4997 candles)
GBP/USD / 1day / MEAN_REVERSION v1: done (21.5s, 5000 candles)
GBP/USD / 1week / MEAN_REVERSION v1: done (19.0s, 2898 candles)
USD/JPY / 1h / MEAN_REVERSION v1: done (26.4s, 4990 candles)
USD/JPY / 4h / MEAN_REVERSION v1: done (20.2s, 4997 candles)
USD/JPY / 1day / MEAN_REVERSION v1: done (20.4s, 5000 candles)
USD/JPY / 1week / MEAN_REVERSION v1: done (11.9s, 2897 candles)
USD/CHF / 1h / MEAN_REVERSION v1: done (20.0s, 4990 candles)
USD/CHF / 4h / MEAN_REVERSION v1: done (33.4s, 4997 candles)
USD/CHF / 1day / MEAN_REVERSION v1: done (19.8s, 5000 candles)
USD/CHF / 1week / MEAN_REVERSION v1: done (18.3s, 2898 candles)
EUR/GBP / 1h / MEAN_REVERSION v1: done (18.6s, 4990 candles)
EUR/GBP / 4h / MEAN_REVERSION v1: done (26.0s, 4997 candles)
EUR/GBP / 1day / MEAN_REVERSION v1: done (26.9s, 5000 candles)
EUR/GBP / 1week / MEAN_REVERSION v1: done (8.4s, 2099 candles)
EUR/JPY / 1h / MEAN_REVERSION v1: done (19.7s, 4990 candles)
EUR/JPY / 4h / MEAN_REVERSION v1: done (28.3s, 4997 candles)
EUR/JPY / 1day / MEAN_REVERSION v1: done (26.8s, 5000 candles)
EUR/JPY / 1week / MEAN_REVERSION v1: done (13.3s, 2691 candles)
GBP/JPY / 1h / MEAN_REVERSION v1: done (20.3s, 4990 candles)
GBP/JPY / 4h / MEAN_REVERSION v1: done (19.8s, 4997 candles)
GBP/JPY / 1day / MEAN_REVERSION v1: done (20.6s, 5000 candles)
GBP/JPY / 1week / MEAN_REVERSION v1: done (13.4s, 2897 candles)
AUD/USD / 1h / MEAN_REVERSION v1: done (24.3s, 4990 candles)
AUD/USD / 4h / MEAN_REVERSION v1: done (20.2s, 4997 candles)
AUD/USD / 1day / MEAN_REVERSION v1: done (27.3s, 5000 candles)
AUD/USD / 1week / MEAN_REVERSION v1: done (10.9s, 2898 candles)
NZD/USD / 1h / MEAN_REVERSION v1: done (25.8s, 4990 candles)
NZD/USD / 4h / MEAN_REVERSION v1: done (25.0s, 4997 candles)
NZD/USD / 1day / MEAN_REVERSION v1: done (20.2s, 5000 candles)
NZD/USD / 1week / MEAN_REVERSION v1: done (11.9s, 2897 candles)
USD/CAD / 1h / MEAN_REVERSION v1: done (20.1s, 4990 candles)
USD/CAD / 4h / MEAN_REVERSION v1: done (26.3s, 4997 candles)
USD/CAD / 1day / MEAN_REVERSION v1: done (20.3s, 5000 candles)
USD/CAD / 1week / MEAN_REVERSION v1: done (9.3s, 2325 candles)
EUR/USD / 1h / BREAKOUT_MOMENTUM: done (20.9s, 4990 candles)
EUR/USD / 4h / BREAKOUT_MOMENTUM: done (22.2s, 4997 candles)
EUR/USD / 1day / BREAKOUT_MOMENTUM: done (20.8s, 5000 candles)
EUR/USD / 1week / BREAKOUT_MOMENTUM: done (9.5s, 2201 candles)
GBP/USD / 1h / BREAKOUT_MOMENTUM: done (21.6s, 4990 candles)
GBP/USD / 4h / BREAKOUT_MOMENTUM: done (21.9s, 4997 candles)
GBP/USD / 1day / BREAKOUT_MOMENTUM: done (21.1s, 5000 candles)
GBP/USD / 1week / BREAKOUT_MOMENTUM: done (12.7s, 2898 candles)
USD/JPY / 1h / BREAKOUT_MOMENTUM: done (23.2s, 4990 candles)
USD/JPY / 4h / BREAKOUT_MOMENTUM: done (23.3s, 4997 candles)
USD/JPY / 1day / BREAKOUT_MOMENTUM: done (23.0s, 5000 candles)
USD/JPY / 1week / BREAKOUT_MOMENTUM: done (13.1s, 2897 candles)
USD/CHF / 1h / BREAKOUT_MOMENTUM: done (23.3s, 4990 candles)
USD/CHF / 4h / BREAKOUT_MOMENTUM: done (22.4s, 4997 candles)
USD/CHF / 1day / BREAKOUT_MOMENTUM: done (22.3s, 5000 candles)
USD/CHF / 1week / BREAKOUT_MOMENTUM: done (11.5s, 2898 candles)
EUR/GBP / 1h / BREAKOUT_MOMENTUM: done (19.8s, 4990 candles)
EUR/GBP / 4h / BREAKOUT_MOMENTUM: done (21.8s, 4997 candles)
EUR/GBP / 1day / BREAKOUT_MOMENTUM: done (22.2s, 5000 candles)
